Game,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28
Academy of Champions: Soccer,2009,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12
Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7
Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17
Ace Combat 2,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71
Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01
Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99
Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51
Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,0.6,0.27,0.25,0.11000000000000001,1.23
Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24
Ace Combat: Joint Assault,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29
Achtung Panzer: Kharkov 1943,2010,Strategy,Mamba Games,0.0,0.01,0.0,0.0,0.02
Act of Aggression,2015,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01
Active Life: Outdoor Challenge,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54
Activision Anthology,2002,Misc,Activision,0.25,0.19,0.0,0.06,0.5
Advance Wars,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7
Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65
Advance Wars: Dual Strike,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39
Advent Rising,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13
Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,0.0,0.12000000000000001,0.0,0.0,0.14
Aedis Eclipse: Generation of Chaos,2006,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02
Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.02,0.0,0.0,0.0,0.03
Aeon Flux,2005,Action,THQ,0.03,0.02,0.0,0.01,0.05
Aero Elite: Combat Academy,2002,Simulation,Sega,0.04,0.03,0.0,0.01,0.07
Afrika,2008,Adventure,Unknown,0.12,0.0,0.08,0.01,0.22
Afro Samurai,2009,Action,Atari,0.28,0.1,0.0,0.05,0.44
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.02,0.01,0.0,0.0,0.04
Agatha Christie: And Then There Were None,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.07
Agatha Christie: Evil Under the Sun,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08
Agatha Christie: The ABC Murders,2009,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1
Agatha Christie: The ABC Murders,2016,Adventure,Microids,0.0,0.02,0.0,0.0,0.02
Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03
Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09
Age of Empires III,2005,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38
Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06
Age of Empires Online,2011,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06
Age of Empires: Mythologies,2008,Strategy,THQ,0.16,0.03,0.0,0.02,0.21
Age of Empires: The Age of Kings,2006,Strategy,THQ,0.18,0.02,0.0,0.02,0.22
Age of Mythology,2002,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09
Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0,0.04
Aggressive Inline,2002,Sports,Acclaim Entertainment,0.26,0.15,0.0,0.04,0.47
Air Conflicts: Secret Wars,2011,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03
AirForce Delta Storm,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18
AirForce Delta Strike,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11
Airblade,2001,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23
Airborne Troops: Countdown to D-Day,2005,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12
Airline Tycoon 2,2011,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05
Alan Wake,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33
Alan Wake,2012,Action,Nordic Games,0.0,0.06,0.0,0.01,0.06
Alias,2004,Action,Acclaim Entertainment,0.09,0.05,0.0,0.01,0.16
Alice in Wonderland,2010,Adventure,Disney Interactive Studios,0.25,0.21,0.0,0.05,0.51
Alice: Madness Returns,2011,Adventure,Electronic Arts,0.49,0.48,0.08,0.14,1.2
Alien Hominid,2004,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0,0.09
Alien Hominid,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0.0,0.01,0.1
Alien Resurrection,2000,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16
Alien Syndrome,2007,Role-Playing,Sega,0.12000000000000001,0.0,0.0,0.01,0.14
Alien: Isolation,2014,Shooter,Sega,0.56,0.95,0.04,0.22,1.7799999999999998
Aliens in the Attic,2009,Action,Playlogic Game Factory,0.05,0.0,0.0,0.0,0.05
Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,0.15,0.09000000000000001,0.0,0.02,0.27
Aliens vs Predator,2010,Shooter,Sega,0.96,1.03,0.0,0.31,2.29
Aliens vs Predator: Requiem,2007,Action,Vivendi Games,0.03,0.12,0.0,0.07,0.22
Aliens: Colonial Marines,2013,Shooter,Sega,0.66,0.69,0.0,0.2,1.55
Aliens: Infestation,2011,Action,Sega,0.09,0.05,0.0,0.02,0.16
All-Pro Football 2K8,2007,Sports,Take-Two Interactive,0.38,0.0,0.0,0.03,0.41000000000000003
All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,0.44000000000000006,0.25,0.0,0.08,0.78
All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,0.69,0.38,0.0,0.11,1.18
All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,0.37,0.21,0.0,0.05,0.63
Alone in the Dark,2008,Adventure,Atari,0.26,0.41,0.0,0.08,0.73
Alone in the Dark: Inferno,2008,Adventure,Atari,0.09,0.03,0.0,0.02,0.13
Alpha Protocol,2010,Role-Playing,Sega,0.42000000000000004,0.32,0.0,0.12000000000000001,0.85
Alter Echo,2003,Shooter,THQ,0.06,0.05,0.0,0.02,0.13
Alter Ego,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03
Altered Beast: Guardian of the Realms,2002,Action,THQ,0.07,0.02,0.0,0.0,0.09
Alundra,1997,Role-Playing,Psygnosis,0.13,0.09,0.0,0.01,0.23
Alvin and the Chipmunks,2007,Misc,Brash Entertainment,0.04,0.03,0.0,0.01,0.07
Alvin and the Chipmunks,2007,Misc,Eidos Interactive,0.05,0.0,0.0,0.0,0.05
Amazing Island,2004,Strategy,Sega,0.04,0.01,0.0,0.0,0.06
America's Army: Rise of a Soldier,2005,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25
America's Army: True Soldiers,2007,Shooter,Ubisoft,0.08,0.0,0.0,0.01,0.08
America's Test Kitchen: Let's Get Cooking,2010,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.26
American Chopper,2004,Racing,Zoo Digital Publishing,0.45999999999999996,0.04,0.0,0.06999999999999999,0.57
American Idol,2003,Misc,Codemasters,0.27,0.21,0.0,0.07,0.55
Amped 2,2003,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25
Amped 3,2005,Sports,Take-Two Interactive,0.13,0.02,0.0,0.01,0.16
Amped: Freestyle Snowboarding,2001,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82
Amplitude,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18
Anarchy Reigns,2012,Action,Sega,0.22,0.05,0.08,0.03,0.37
Angry Birds Star Wars,2013,Strategy,Activision,0.47000000000000003,0.36000000000000004,0.0,0.13,0.94
Angry Birds Trilogy,2012,Action,Activision,0.6799999999999999,0.27,0.0,0.1,1.05
AniMates!,2007,Simulation,Lexicon Entertainment,0.02,0.0,0.0,0.0,0.03
Anima - Gate of Memories,2016,Action,Avanquest,0.0,0.02,0.0,0.0,0.02
Animal Crossing,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
Animal Crossing: Amiibo Festival,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41
Animal Crossing: City Folk,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62
Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05
Animal Crossing: New Leaf,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16
Animal Crossing: Wild World,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13
Anno 1701: Dawn of Discovery,2007,Simulation,Touchstone,0.07,0.05,0.0,0.01,0.13
Anno 2070,2011,Strategy,Ubisoft,0.0,1.13,0.0,0.29,1.43
Anno 2205,2015,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25
Antz Extreme Racing,2002,Racing,Empire Interactive,0.03,0.02,0.0,0.01,0.06
Anubis II,2007,Platform,Metro 3D,0.06,0.0,0.0,0.0,0.07
Apache: Air Assault,2010,Simulation,Activision,0.22999999999999998,0.09,0.0,0.04,0.36
Apache: Air Assault,2010,Simulation,Just Flight,0.0,0.03,0.0,0.0,0.03
Ape Escape,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63
Ape Escape 2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63
Ape Escape 3,2005,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
Ape Escape Academy,2004,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33
Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,0.52,0.0,0.12,0.05,0.7
Apex,2003,Racing,Atari,0.1,0.03,0.0,0.0,0.14
Apollo Justice: Ace Attorney,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Racing,Midway Games,0.03,0.03,0.0,0.01,0.07
Aquaman: Battle for Atlantis,2003,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.01
Aquapazza: Aquaplus Dream Match,2012,Fighting,Aqua Plus,0.05,0.0,0.05,0.01,0.11
Ar Nosurge: Ode to an Unborn Star,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16
Ar tonelico Qoga: Knell of Ar Ciel,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24
Ar tonelico: Melody of Elemia,2006,Role-Playing,505 Games,0.0,0.0,0.1,0.0,0.1
Arc Rise Fantasia,2009,Role-Playing,Marvelous Interactive,0.12,0.0,0.06,0.01,0.19
Arc the Lad: End of Darkness,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.06
Arc the Lad: Twilight of the Spirits,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36
Arcana Heart,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16
Arcana Heart 3,2011,Fighting,PQube,0.04,0.04,0.1,0.02,0.2
Arcania: Gothic 4,2010,Role-Playing,JoWood Productions,0.13,0.12,0.01,0.03,0.28
Archer Maclean's Mercury,2005,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56
Arctic Thunder,2001,Racing,Midway Games,0.17,0.14,0.0,0.05,0.36
Area 51,2005,Shooter,Midway Games,0.44,0.23,0.0,0.06999999999999999,0.74
Arena Football,2006,Sports,Electronic Arts,0.39,0.25,0.0,0.08,0.7100000000000001
Arkanoid DS,2007,Puzzle,Square Enix,0.06,0.0,0.0,0.0,0.06
ArmA II,2009,Shooter,505 Games,0.0,0.12,0.0,0.02,0.14
ArmA III,2013,Shooter,Bohemia Interactive,0.0,0.1,0.0,0.01,0.11
Armed and Dangerous,2003,Shooter,LucasArts,0.09,0.03,0.0,0.0,0.13
Armored Core 2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79
Armored Core 2: Another Age,2001,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41
Armored Core 3,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67
Armored Core 3 Portable,2009,Simulation,From Software,0.0,0.0,0.08,0.0,0.08
Armored Core 4,2006,Simulation,505 Games,0.09,0.0,0.09,0.01,0.2
Armored Core 4,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25
Armored Core V,2012,Simulation,Namco Bandai Games,0.22,0.07,0.27999999999999997,0.03,0.6
Armored Core: For Answer,2008,Simulation,Ubisoft,0.12,0.03,0.17,0.02,0.33999999999999997
Armored Core: Last Raven,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18
Armored Core: Nexus,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26
Armored Core: Nine Breaker,2004,Simulation,505 Games,0.03,0.03,0.0,0.01,0.07
Armored Core: Verdict Day,2013,Simulation,From Software,0.0,0.0,0.12,0.0,0.12
Army Corps of Hell,2011,Action,Square Enix,0.04,0.04,0.0,0.02,0.09
Army Men: Air Attack 2,2000,Action,3DO,0.17,0.11,0.0,0.02,0.3
Army Men: Green Rogue,2001,Action,3DO,0.06,0.05,0.0,0.02,0.13
Army Men: Major Malfunction,2006,Shooter,Global Star,0.01,0.0,0.0,0.0,0.02
Army Men: Sarge's Heroes 2,2000,Shooter,3DO,0.14,0.09,0.0,0.02,0.24
Army Men: Sarge's Heroes 2,2001,Shooter,Midas Interactive Entertainment,0.09,0.07,0.0,0.02,0.17
Army Men: Sarge's War,2004,Shooter,Global Star,0.12,0.03,0.0,0.0,0.15
Army of Two,2008,Shooter,Electronic Arts,1.83,0.63,0.04,0.31,2.8099999999999996
Army of Two: The 40th Day,2010,Shooter,Electronic Arts,1.18,0.64,0.01,0.29,2.12
Army of Two: The Devil's Cartel,2013,Shooter,Electronic Arts,0.27,0.18,0.01,0.07,0.54
Arslan: The Warriors of Legend,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09
Art Academy,2010,Misc,Nintendo,0.26,1.65,0.33,0.28,2.52
Art Academy: Home Studio,2015,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01
Art Academy: Lessons for Everyone,2012,Action,Nintendo,0.2,0.04,0.21,0.02,0.46
Art of Fighting Anthology,2006,Fighting,Crave Entertainment,0.02,0.02,0.0,0.01,0.04
Arx Fatalis,2003,Role-Playing,Mindscape,0.04,0.01,0.0,0.0,0.05
Asphalt 3D,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49
Asphalt: Injection,2011,Action,Ubisoft,0.13,0.06,0.0,0.03,0.22
Asphalt: Urban GT,2004,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.59
Assassin's Creed,2007,Adventure,Ubisoft,5.1899999999999995,3.6399999999999997,0.16,1.38,10.36
Assassin's Creed Chronicles,2016,Action,Ubisoft,0.01,0.04,0.01,0.01,0.07
Assassin's Creed Chronicles: China,2015,Action,Ubisoft,0.0,0.03,0.0,0.01,0.04
Assassin's Creed II,2009,Action,Ubisoft,5.65,3.48,0.29,1.37,10.809999999999999
Assassin's Creed II,2010,Action,Ubisoft,0.01,0.45,0.0,0.09,0.55
Assassin's Creed II: Discovery,2009,Action,Ubisoft,0.15,0.11,0.0,0.03,0.28
Assassin's Creed III,2012,Action,Ubisoft,6.24,4.87,0.19,1.7100000000000002,13.02
Assassin's Creed III: Liberation,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,4.69,4.57,0.2,1.3599999999999999,10.79
Assassin's Creed Syndicate,2015,Action,Ubisoft,1.54,2.64,0.07,0.65,4.9
Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.07,0.17,0.0,0.04,0.28
Assassin's Creed: Altair's Chronicles,2008,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.05
Assassin's Creed: Bloodlines,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23
Assassin's Creed: Brotherhood,2010,Action,Ubisoft,4.720000000000001,0.93,0.14,0.53,6.3100000000000005
Assassin's Creed: Brotherhood,2011,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
Assassin's Creed: Revelations,2011,Action,Ubisoft,3.8000000000000003,3.96,0.14,1.25,9.15
Assassin's Creed: Rogue,2014,Action,Ubisoft,1.04,0.9000000000000001,0.06,0.29000000000000004,2.3
Assassin's Creed: Rogue,2015,Action,Ubisoft,0.05,0.02,0.0,0.01,0.08
Assassin's Creed: Unity,2014,Action,Ubisoft,3.64,3.3,0.08,0.99,8.01
Assetto Corsa,2016,Racing,505 Games,0.0,0.060000000000000005,0.0,0.01,0.08
Astonishia Story,2006,Role-Playing,Ubisoft,0.03,0.0,0.0,0.0,0.03
Astro Boy,2004,Action,Sega,0.04,0.03,0.0,0.01,0.09
Astro Boy: Omega Factor,2003,Action,THQ,0.06,0.02,0.0,0.0,0.09
Astro Boy: The Video Game,2009,Action,D3Publisher,0.15000000000000002,0.04,0.0,0.02,0.22
Asura's Wrath,2012,Action,Capcom,0.32999999999999996,0.18,0.06999999999999999,0.07,0.64
Atari Anthology,2004,Misc,Atari,0.33,0.01,0.0,0.05,0.4
Atari Classics Evolved,2007,Misc,Atari,0.08,0.0,0.0,0.01,0.09
Atelier Annie: Alchemists of Sera Island,2009,Role-Playing,Gust,0.08,0.0,0.03,0.01,0.12
Atelier Ayesha: The Alchemist of Dusk,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26
Atelier Iris 2: The Azoth Of Destiny,2005,Role-Playing,Tecmo Koei,0.03,0.02,0.0,0.01,0.06
Atelier Iris: Eternal Mana,2004,Role-Playing,Tecmo Koei,0.08,0.06,0.0,0.02,0.15
Atelier Shallie: Alchemists of the Dusk Sea,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18
Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12
Atelier Totori: The Adventurer of Arland,2010,Role-Playing,Nippon Ichi Software,0.12,0.06,0.21,0.03,0.42
Athens 2004,2004,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.27
Atomic Betty,2005,Puzzle,Atari,0.02,0.01,0.0,0.0,0.03
Attack of the Movies 3D,2010,Shooter,Majesco Entertainment,0.04,0.0,0.0,0.0,0.04
Attack on Titan: Humanity in Chains,2013,Action,Screenlife,0.0,0.0,0.42,0.0,0.42
Auto Modellista,2002,Racing,Capcom,0.19,0.15,0.0,0.05,0.39
Avalon Code,2008,Role-Playing,Rising Star Games,0.11,0.0,0.12,0.01,0.24
Avatar: The Last Airbender,2006,Adventure,THQ,1.02,0.13,0.0,0.07,1.22
Azure Striker Gunvolt,2016,Action,Yacht Club Games,0.01,0.0,0.0,0.0,0.01
Azurik: Rise of Perathia,2001,Action,Microsoft Game Studios,0.18,0.05,0.0,0.01,0.24
B-Boy,2006,Misc,Sony Computer Entertainment,0.04,0.0,0.0,0.0,0.05
BIT.TRIP COMPLETE,2011,Misc,Rising Star Games,0.06,0.02,0.0,0.01,0.09
BIT.TRIP SAGA,2011,Misc,Rising Star Games,0.09,0.04,0.0,0.01,0.14
BMX XXX,2002,Sports,Acclaim Entertainment,0.2,0.09,0.0,0.02,0.32
Back to the Future: The Game,2011,Adventure,Telltale Games,0.12000000000000001,0.01,0.0,0.01,0.14
Backyard Baseball,2003,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13
Backyard Baseball '09,2008,Sports,Atari,0.04,0.0,0.0,0.0,0.04
Backyard Wrestling 2: There Goes the Neighborhood,2004,Fighting,Eidos Interactive,0.14,0.11,0.0,0.04,0.28
Backyard Wrestling: Don't Try This at Home,2003,Fighting,Eidos Interactive,0.43,0.27,0.0,0.09,0.77
Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,0.7300000000000001,0.49,0.0,0.16,1.38
Baja: Edge of Control,2008,Racing,THQ,0.22,0.14,0.0,0.05,0.41000000000000003
Bakugan: Battle Brawlers,2009,Action,Activision,2.24,0.1,0.0,0.19,2.51
Baldur's Gate: Dark Alliance,2001,Role-Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24
Baldur's Gate: Dark Alliance,2002,Role-Playing,Virgin Interactive,0.26,0.07,0.0,0.01,0.34
Baldur's Gate: Dark Alliance,2004,Role-Playing,"Destination Software, Inc",0.02,0.01,0.0,0.0,0.03
Baldur's Gate: Dark Alliance II,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26
Baldur's Gate: Dark Alliance II,2004,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68
Ball Breakers,2000,Action,Take-Two Interactive,0.1,0.07,0.0,0.01,0.18
Balls of Fury,2007,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02
Band Hero,2009,Misc,Activision,1.71,0.9199999999999999,0.0,0.31,2.93
Bangai-O Spirits,2008,Shooter,D3Publisher,0.07,0.0,0.0,0.01,0.08
Banjo-Kazooie,2008,Platform,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01
Banjo-Kazooie: Grunty's Revenge,2003,Platform,THQ,0.24,0.09,0.0,0.01,0.33
Banjo-Pilot,2005,Racing,THQ,0.07,0.03,0.0,0.0,0.1
Barbie Groovy Games,2002,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56
Barnyard,2006,Action,THQ,0.09,0.04,0.0,0.01,0.13
Baroque,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13
Baroque,2008,Role-Playing,Rising Star Games,0.07,0.0,0.0,0.01,0.07
Baseball Advance,2002,Sports,Sega,0.1,0.04,0.0,0.0,0.13
Bass Pro Shops: The Strike,2009,Sports,XS Games,0.2,0.0,0.0,0.02,0.21
Bass Strike,2001,Sports,THQ,0.14,0.11,0.0,0.04,0.28
Baten Kaitos Origins,2006,Role-Playing,Unknown,0.06,0.02,0.02,0.0,0.1
Baten Kaitos: Eternal Wings and the Lost Ocean,2003,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27
Batman Begins,2005,Action,Electronic Arts,0.66,0.33,0.0,0.08,1.09
Batman: Arkham Asylum,2009,Action,Eidos Interactive,4.44,2.54,0.09000000000000001,0.97,8.030000000000001
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,5.86,3.4000000000000004,0.15,1.32,10.74
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,2.5,2.19,0.1,0.79,5.57
Batman: Arkham Origins,2013,Action,Warner Bros. Interactive Entertainment,2.54,1.61,0.04,0.6,4.79
Batman: Arkham Origins Blackgate,2013,Action,Warner Bros. Interactive Entertainment,0.32,0.26,0.0,0.12000000000000001,0.69
Batman: Arkham VR,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3
Batman: Dark Tomorrow,2003,Action,Kemco,0.14,0.04,0.0,0.0,0.19
Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.12000000000000001,0.21000000000000002,0.0,0.05,0.37
Batman: Rise of Sin Tzu,2003,Action,Ubisoft,0.30000000000000004,0.17,0.0,0.05,0.53
